ATC;Kód;GP;Názov;Doplnok;Konečná c.;ŠDL;JD
G04CA03;53550;X;Kornam 5 mg;tbl 90x5 mg (blis.PVC/Al);18,29;5;mg
A09AA02;26526;;Kreon 10 000;cps end 50x150 mg (fľ.HDPE);6,99;5000;FI
A09AA02;26529;;Kreon 25 000;cps end 50x300 mg (fľ.HDPE);14,59;5000;FI
A16AX07;59281;X;Kuvan 100 mg rozpustné tablety;tbl sol 120x100 mg (fľ.HDPE);2723,8;20;mg/kg/deň
N05AH04;43974;X;Kventiax 100 mg;tbl flm 30x100 mg (blis.PVC/Al);4,37;0,4;g
N05AH04;43981;X;Kventiax 100 mg;tbl flm 60x100 mg (blis.PVC/Al);7,74;0,4;g
N05AH04;44012;X;Kventiax 200 mg;tbl flm 60x200 mg (blis.PVC/Al);9,51;0,4;g
N05AH04;43962;X;Kventiax 25 mg;tbl flm 30x25 mg (blis.PVC/Al);1,7;0,4;g
N05AH04;44043;X;Kventiax 300 mg;tbl flm 60x300 mg (blis.PVC/Al);17,68;0,4;g
N05AH04;3023B;X;Kventiax SR 200 mg tablety s predĺženým uvoľňovaním;tbl plg 60x200 mg (blis.OPA/Al/PVC/Al);24,15;400;mg
N05AH04;3029B;X;Kventiax SR 300 mg tablety s predĺženým uvoľňovaním;tbl plg 60x300 mg (blis.OPA/Al/PVC/Al);27,83;400;mg
L04AC12;4858C;;Kyntheum 210 mg injekčný roztok naplnený v injekčnej striekačke;sol inj 2x1,5 ml/210 mg (striek.inj.napl.skl.);1002,11;15;mg
M05BA06;21936;X;Kyselina ibandrónová Sandoz 150 mg filmom obalené tablety;tbl flm 3x150 mg (blis.PA/Al/PVC/Al);14,39;5;mg
M05BA06;23383;X;Kyselina ibandrónová Teva 150 mg filmom obalené tablety;tbl flm 1x150 mg (blister PVC/Aclar/PVC-Al);4,8;5;mg
M05BA06;23384;X;Kyselina ibandrónová Teva 150 mg filmom obalené tablety;tbl flm 3x150 mg (blister PVC/Aclar/PVC-Al);14,39;5;mg
M05BA08;1488A;;Kyselina zoledrónová Sandoz 4 mg/100 ml infúzny roztok;sol inf 1x100 ml/4 mg (fľ.inf.plast.);35,77;4;mg
M05BA08;1485A;;Kyselina zoledrónová Sandoz 4 mg/5 ml infúzny koncentrát;con inf 1x5 ml/4 mg (liek.inj.plast.);35,77;4;mg
C08CA09;28718;X;Lacipil 4 mg;tbl flm 28x4 mg (blis.PVC/Al);4,25;4;mg
C08CA09;42280;X;Lacipil 6 mg;tbl flm 28x6 mg (blis.PVC/Al);8,16;4;mg
N03AX18;5301C;X;Lacosamide Accord 100 mg filmom obalené tablety;tbl flm 56x100 mg (blis.PVC/PVDC/Al);27,46;300;mg
N03AX18;5305C;X;Lacosamide Accord 150 mg filmom obalené tablety;tbl flm 56x150 mg (blis.PVC/PVDC/Al);48,56;300;mg
N03AX18;5309C;X;Lacosamide Accord 200 mg filmom obalené tablety;tbl flm 56x200 mg (blis.PVC/PVDC/Al);51,86;300;mg
A06AD11;2816;X;LACTULOSA BIOMEDICA;sir 1x500 ml 50%;6,19;6,7;g
G03CX01;36926;X;LADYBON;tbl 28x2,5 mg;11,31;2,5;mg
G03CX01;36927;X;LADYBON;tbl 84 (3x28) x2,5 mg;34,01;2,5;mg
A06AD11;40128;X;LAEVOLAC;sol por 1x1000 ml (fľ.PET hnedá);12,39;6,7;g
A05BA03;84370;X;LAGOSA;tbl obd 100x150 mg (blis.PVC/Al);11,12;0,21;g
A05BA03;84369;X;LAGOSA;tbl obd 50x150 mg (blis.PVC/Al);8,66;0,21;g
N06AX22;8563C;X;Lamegom 25 mg filmom obalené tablety;tbl flm 28x25 mg (blis.OPA/Al/PVC/Al);8,66;25;mg
N06AX22;8567C;X;Lamegom 25 mg filmom obalené tablety;tbl flm 98x25 mg (blis.OPA/Al/PVC/Al);30,31;25;mg
N03AX09;78189;X;Lamictal 100 mg žuvacie/dispergovateľné tablety;tbl mcp 98x100 mg (blis.PVC/PVDC/Al);26,3;0,3;g
N03AX09;4547D;X;Lamictal 25 mg tablety;tbl 28x25 mg (blis.PVC/Al s bezpeč.poistkou);2,18;0,3;g
N03AX09;7119B;X;Lamictal 5 mg žuvacie/dispergovateľné tablety;tbl mcp 60x5 mg (fľ.HDPE);3,69;0,3;g
N03AX09;4559D;X;Lamictal 50 mg tablety;tbl 98x50 mg (blis.PVC/Al s bezpeč.poistkou);10,91;0,3;g
N03AX09;92713;X;Lamotrigin Actavis 100 mg;tbl dsp 100x100 mg (blis.PVDC/Al);17,75;0,3;g
N03AX09;92706;X;Lamotrigin Actavis 100 mg;tbl dsp 30x100 mg (blis.PVDC/Al);6,13;0,3;g
N03AX09;92667;X;Lamotrigin Actavis 25 mg;tbl dsp 30x25 mg (blis.PVDC/Al);1,6;0,3;g
N03AX09;92684;X;Lamotrigin Actavis 50 mg;tbl dsp 30x50 mg (blis.PVDC/Al);3,27;0,3;g
N03AX09;1876C;X;Lamotrigine Farmax 100 mg tablety;tbl 100x100 mg (blis.PVC/Al);17,74;0,3;g
N03AX09;1878C;X;Lamotrigine Farmax 200 mg tablety;tbl 30x200 mg (blis.PVC/Al);12,26;0,3;g
N03AX09;1855C;X;Lamotrigine Farmax 25 mg tablety;tbl 30x25 mg (blis.PVC/Al);1,6;0,3;g
N03AX09;1868C;X;Lamotrigine Farmax 50 mg tablety;tbl 100x50 mg (blis.PVC/Al);9,17;0,3;g
A16AB15;7604C;;Lamzede 10 mg prášok na infúzny roztok;plv ifo 1x10 mg (liek.inj.skl.);1044,76;1;mg/kg
A16AB15;7605C;;Lamzede 10 mg prášok na infúzny roztok;plv ifo 5x10 mg (liek.inj.skl.);4872,33;1;mg/kg
A10AE04;36570;;LANTUS;sol inj 10x3 ml (skl. náplň v pere pre SoloStar);91,43;40;IU
A10AE04;36566;;LANTUS;sol inj 5x3 ml (skl. náplň v pere pre SoloStar);44,08;40;IU
A10AE04;13271;;LANTUS;sol inj 5x3 ml (skl. náplň);44,08;40;IU
A02BC03;34640;X;LANZUL;cps 28x30 mg (blis.Al/PVC/PE/PVDC);6,38;30;mg
S01EE01;2276D;;Latanoprost Olikla 50 mikrogramov/ml očná roztoková instilácia;int opo 1x2,5 ml (fľ.LDPE);4,25;0,1;ml
S01EE01;2277D;;Latanoprost Olikla 50 mikrogramov/ml očná roztoková instilácia;int opo 3x2,5 ml (fľ.LDPE);12,75;0,1;ml
S01ED51;2375D;;Latanoprost/timolol Olikla 0,05 mg/ml + 5 mg/ml očná roztoková instilácia;int opo 1x2,5 ml (fľ.LDPE);3,35;0,1;ml
S01ED51;2376D;;Latanoprost/timolol Olikla 0,05 mg/ml + 5 mg/ml očná roztoková instilácia;int opo 3x2,5 ml (fľ.LDPE);11,19;0,1;ml
N05AE05;9717A;;Latuda 18,5 mg filmom obalené tablety;tbl flm 28x1x18,5 mg (blis.Al/Al-jednod.bal.);51,24;60;mg
N05AE05;9724A;;Latuda 37 mg filmom obalené tablety;tbl flm 28x1x37 mg (blis.Al/Al-jednod.bal.);52,41;60;mg
N05AE05;9731A;;Latuda 74 mg filmom obalené tablety;tbl flm 28x1x74 mg (blis.Al/Al-jednod.bal.);52,68;60;mg
N04BA03;8092D;;Lecigon;gel ist 7x47 ml (náplň PP);679,41;1;DF
L04AA13;21708;X;Leflunomide medac 10 mg filmom obalené tablety;tbl flm 30x10 mg (fľ.HDPE);12,66;15;mg
L04AA13;21714;X;Leflunomide medac 20 mg filmom obalené tablety;tbl flm 30x20 mg (fľ.HDPE);25,31;15;mg
L04AA13;86931;X;Leflunomide Zentiva 20 mg filmom obalené tablety;tbl flm 30x20 mg (fľaša HDPE);25,29;15;mg
L04AA13;86932;X;Leflunomide Zentiva 20 mg filmom obalené tablety;tbl flm 50x20 mg (fľaša HDPE);42,15;15;mg
J01FA09;30181;X;LEKOKLAR 250 mg filmom obalené tablety;tbl flm 14x250 mg (blis. PVC/PVDC/Al);3,57;0,5;g
J01FA09;30446;X;LEKOKLAR 250 mg/5 ml granulát na perorálnu suspenziu;gru por 1x100 ml (68,3 g gran./57,0 ml vody) (fľ.HDPE);9,44;0,5;g
J01FA09;30171;X;LEKOKLAR 500 mg filmom obalené tablety;tbl flm 14x500 mg (blis.PVC/PVDC/Al);6,01;0,5;g
J01FA09;45710;X;Lekoklar XL 500 mg tablety s riadeným uvoľňovaním;tbl mod 7x500 mg (blis.Al/Al);4,82;0,5;g
L04AA34;7211A;;LEMTRADA 12 mg infúzny koncentrát;con inf 1x1,2 ml/12 mg (liek.inj.skl.);6118,97;0,13;mg
L04AX04;8480C;X;Lenalidomid Alvogen 10 mg tvrdé kapsuly;cps dur 21x10 mg (blis.PVC/Aclar/Al);1277,26;10;mg
L04AX04;8481C;X;Lenalidomid Alvogen 15 mg tvrdé kapsuly;cps dur 21x15 mg (bli.PVC/Aclar/Al);1510,41;10;mg
L04AX04;8482C;X;Lenalidomid Alvogen 25 mg tvrdé kapsuly;cps dur 21x25 mg (blis.PVC/Aclar/Al);1532,76;10;mg
L04AX04;9918C;X;Lenalidomid Glenmark 10 mg;cps dur 21x10 mg (blis.OPA/Al/PVC/Al);1277,26;10;mg
L04AX04;9920C;X;Lenalidomid Glenmark 15 mg;cps dur 21x15 mg (blis.OPA/Al/PVC/Al);1510,41;10;mg
L04AX04;9922C;X;Lenalidomid Glenmark 25 mg;cps dur 21x25 mg (blis.OPA/Al/PVC/Al);1532,76;10;mg
L04AX04;2861D;X;Lenalidomid Grindeks 10 mg tvrdé kapsuly;cps dur 21x10 mg (blis. Al/PVC/Aclar/PVC);1277,26;10;mg
L04AX04;2863D;X;Lenalidomid Grindeks 15 mg tvrdé kapsuly;cps dur 21x15 mg (blis. Al/PVC/Aclar/PVC);1846,39;10;mg
L04AX04;2867D;X;Lenalidomid Grindeks 25 mg trvdé kapsuly;cps dur 21x25 mg (blis.Al/PVC/Aclar/PVC);2325,16;10;mg
L04AX04;9902C;X;Lenalidomid Pharmevid 10 mg;cps dur 21x10 mg (blis. OPA/Al/PVC/Al);1277,26;10;mg
L04AX04;9907C;X;Lenalidomid Pharmevid 15 mg;cps dur 21x15 mg (blis. OPA/Al/PVC/Al);1510,43;10;mg
L04AX04;9912C;X;Lenalidomid Pharmevid 25 mg;cps dur 21x25 mg (blis. OPA/Al/PVC/Al);1532,79;10;mg
L04AX04;9245C;X;Lenalidomid Sandoz 10 mg;cps dur 21x10 mg (blis.OPA/Al/PVC/Al);1277,26;10;mg
L04AX04;9250C;X;Lenalidomid Sandoz 15 mg;cps dur 21x15 mg (blis.OPA/Al/PVC/Al);1510,41;10;mg
L04AX04;9255C;X;Lenalidomid Sandoz 25 mg;cps dur 21x25 mg (blis.OPA/Al/PVC/Al);1532,76;10;mg
L04AX04;8485C;X;Lenalidomid STADA 10 mg tvrdé kapsuly;cps dur 21x10 mg (blis.PVC/Aclar/Al);1277,26;10;mg
L04AX04;8486C;X;Lenalidomid STADA 15 mg tvrdé kapsuly;cps dur 21x15 mg (blis.PVC/Aclar/Al);1510,41;10;mg
L04AX04;8487C;X;Lenalidomid STADA 25 mg tvrdé kapsuly;cps dur 21x25 mg (blis.PVC/Aclar/Al);1532,76;10;mg
L04AX04;8556C;X;Lenalidomid Teva B.V. 10 mg;cps dur 21x1x10 mg (blis.OPA/Al/PVC/Al-jednotliv.dáv.);1277,26;10;mg
L04AX04;8560C;X;Lenalidomid Teva B.V. 15 mg;cps dur 21x1x15 mg (blis.OPA/Al/PVC/Al-jednotliv.dáv.);1510,43;10;mg
L04AX04;8562C;X;Lenalidomid Teva B.V. 25 mg;cps dur 21x1x25 mg (blis.OPA/Al/PVC/Al-jednotliv.dáv.);1532,79;10;mg
L04AX04;9572C;X;Lenalidomide Accord 10 mg tvrdé kapsuly;cps dur 21x1x10 mg (blis.OPA/Al/PVC/Al);1277,26;10;mg
L04AX04;9574C;X;Lenalidomide Accord 15 mg tvrdé kapsuly;cps dur 21x1x15 mg (blis.OPA/Al/PVC/Al);1510,41;10;mg
L04AX04;9577C;X;Lenalidomide Accord 25 mg tvrdé kapsuly;cps dur 21x1x25 mg (blis.OPA/Al/PVC/Al);1532,76;10;mg
L01XE29;4840B;;LENVIMA 4 mg tvrdé kapsuly;cps dur 30x4 mg (blis.PA/Al/PVC/Al);1514,51;9,4;mg
N05AH02;2970;X;Leponex 100 mg;tbl 50x100 mg (blis.Al/PVC/PVDC);13,28;0,3;g
N05AH02;3617;X;Leponex 25 mg;tbl 50x25 mg (blis.Al/PVC/PVDC);4,37;0,3;g
L02BG04;5560B;X;Letromyl;tbl flm 100x2,5 mg (blis.PVC/PVDC/Al);42,7;2,5;mg
L02BG04;7348;X;Letrovena 2,5 mg filmom obalené tablety;tbl flm 100x2,5 mg (blis.PVC/Al);42,7;2,5;mg
L02BG04;54211;X;Letrozol Sandoz 2,5 mg filmom obalené tablety;tbl flm 100x2,5 mg;42,7;2,5;mg
L02BG04;51832;X;Letrozol STADA 2,5 mg filmom obalené tablety;tbl flm 100 (10x10) x2,5 mg (blis. PVC/Al);42,7;2,5;mg
L02BG04;51831;X;Letrozol STADA 2,5 mg filmom obalené tablety;tbl flm 30x2,5 mg (blis. PVC/Al);12,81;2,5;mg
L02BG04;75539;X;Letrozole Pharmacenter 2,5 mg;tbl flm 90x2,5 mg (blis. PVC/Al);38,43;2,5;mg
L02AE02;80448;;Leuprorelin Sandoz 5 mg implantát;imp 1x5 mg (striek.inj.napl.plast.);136,66;0,06;mg
L01AA09;8144;;Levact 2,5 mg/ml;plc ifo 5x100 mg (liek.inj.skl.hnedá);499,58;58,3;mg
L01AA09;8141;;Levact 2,5 mg/ml;plc ifo 5x25 mg (liek.inj.skl.hnedá);142,48;58,3;mg
J01MA12;3980B;X;Levalox 500 mg filmom obalené tablety;tbl flm 10x500 mg (blis.PVC/PE/PVDC/Al);10,39;0,25;g
A10AE05;40820;;Levemir FlexPen 100 jednotiek/ml injekčný roztok naplnený v injekčnom pere;sol inj 10x3 ml/300 U (náplň skl. v predpln. pere FlexPen);108,46;40;IU
A10AE05;40817;;Levemir Penfill 100 jednotiek/ml injekčný roztok v náplni;sol inj 10x3 ml/300 U (náplň skl. Penfill);113,09;40;IU
N03AX14;12386;X;Levetiracetam Accord 1000 mg filmom obalené tablety;tbl flm 100x1000 mg (blis.PVC/Al);32,6;1,5;g
N03AX14;12357;X;Levetiracetam Accord 250 mg filmom obalené tablety;tbl flm 50x250 mg (blis.PVC/Al);5,28;1,5;g
N03AX14;12368;X;Levetiracetam Accord 500 mg filmom obalené tablety;tbl flm 100x500 mg (blis.PVC/Al);17,83;1,5;g
N03AX14;12118;X;Levetiracetam Actavis 1000 mg filmom obalené tablety;tbl flm 100x1000 mg (blis.Al/PVC);32,6;1,5;g
N03AX14;12085;X;Levetiracetam Actavis 250 mg filmom obalené tablety;tbl flm 100x250 mg (blis.Al/PVC);10,57;1,5;g
N03AX14;12098;X;Levetiracetam Actavis 500 mg filmom obalené tablety;tbl flm 100x500 mg (blis.Al/PVC);17,83;1,5;g
N03AX14;13906;X;Levetiracetam Sandoz 1000 mg filmom obalené tablety;tbl flm 100x1000 mg (blis.OPA/Al/PVC/Al);32,6;1,5;g
N03AX14;13894;X;Levetiracetam Sandoz 500 mg filmom obalené tablety;tbl flm 100x500 mg (blis.OPA/Al/PVC/Al);17,83;1,5;g
N03AX14;32406;X;Levetiracetam STADA 1000 mg;tbl flm 100x1000 mg (blis.PVC/Al);32,6;1,5;g
N03AX14;32383;X;Levetiracetam STADA 250 mg;tbl flm 50x250 mg  (blis.PVC/Al);5,28;1,5;g
N03AX14;32396;X;Levetiracetam STADA 500 mg;tbl flm 100x500 mg (blis.PVC/Al);17,83;1,5;g
N03AX14;6259D;X;Levetiracetam STADA Arzneimittel 1000 mg filmom obalené tablety;tbl flm 100x1000 mg (blis.Al/PVC/PE/PVDC);32,56;1,5;g
N03AX14;6242D;X;Levetiracetam STADA Arzneimittel 250 mg filmom obalené tablety;tbl flm 50x250 mg (blis.Al/PVC/PE/PVDC);5,28;1,5;g
N03AX14;6251D;X;Levetiracetam STADA Arzneimittel 500 mg filmom obalené tablety;tbl flm 100x500 mg (blis.Al/PVC/PE/PVDC);17,82;1,5;g
R06AE09;58816;X;Levocetirizin Teva 5 mg filmom obalené tablety;tbl flm 30x5 mg (blis. OPA/Al/PVC/Al);2,59;5;mg
R06AE09;58819;X;Levocetirizin Teva 5 mg filmom obalené tablety;tbl flm 60x5 mg (blis. OPA/Al/PVC/Al);5,16;5;mg
R06AE09;58820;X;Levocetirizin Teva 5 mg filmom obalené tablety;tbl flm 90x5 mg (blis. OPA/Al/PVC/Al);7,2;5;mg
N04BA03;1501B;;Levodopa/Carbidopa/Entacapone Stada 100 mg/25 mg/200 mg;tbl flm 100x100 mg/25 mg/200 mg (nád.HDPE);29,33;600;mg
N04BA03;1509B;;Levodopa/Carbidopa/Entacapone Stada 150 mg/37,5 mg/200 mg;tbl flm 100x150 mg/37,5 mg/200 mg (nád.HDPE);29,29;600;mg
N04BA03;1517B;;Levodopa/Carbidopa/Entacapone Stada 175 mg/43,75 mg/200 mg;tbl flm 100x175 mg/43,75 mg/200 mg (nád.HDPE);56,53;600;mg
N04BA03;1493B;;Levodopa/Carbidopa/Entacapone Stada 50 mg/12,5 mg/200 mg;tbl flm 100x50 mg/12,5 mg/200 mg (nád.HDPE);28,87;600;mg
V03AF;49594;;Levofolic 50 mg/ml injekčný alebo infúzny roztok;sol ijf 1x1 ml/50 mg (liek.inj.skl.);10,1;30;mg
V03AF;49596;;Levofolic 50 mg/ml injekčný alebo infúzny roztok;sol ijf 1x4 ml/200 mg (liek.inj.skl.);40,39;30;mg
N05BA08;0488A;X;LEXOPAM 1,5 mg;cps dur 30x1,5 mg (blis.PVC/Al);1,31;10;mg
N05BA08;0489A;X;LEXOPAM 3 mg;cps dur 30x3 mg (blis.PVC/Al);1,71;10;mg
M05BA06;142;X;Licobondrat 150 mg;tbl flm 3x150 mg (blis.Al/Al);14,39;5;mg
L04AX04;9481D;X;Lignaron 10 mg tvrdé kapsuly;cps dur 21x10 mg (blis.PVC/PCTFE/Al);1414,42;10;mg
L04AX04;9483D;X;Lignaron 15 mg tvrdé kapsuly;cps dur 21x15 mg (blis.PVC/PCTFE/Al);1846,39;10;mg
L04AX04;9489D;X;Lignaron 25 mg tvrdé kapsuly;cps dur 21x25 mg (blis.PVC/PCTFE/Al);2364,52;10;mg
J01XX08;0511C;X;Linezolid Accord 600 mg filmom obalené tablety;tbl flm 10x600 mg (blis.Al/Al);145,02;1200;mg
J01XX08;6806B;X;Linezolid Krka 600 mg filmom obalené tablety;tbl flm 10x600 mg (blis.PVC/PVDC/Al);145,02;1200;mg
J01XX08;4703C;X;Linezolid Mylan 600 mg filmom obalené tablety;tbl flm 10x600 mg (blis.OPA/Al/PVC/Al);153,86;1200;mg
J01XX08;0872B;X;Linezolid Sandoz 600 mg filmom obalené tablety;tbl flm 10x600 mg (blis.OPA/Al/PVC/Al);145,02;1200;mg
D02AC;89996;;Linola Fett Őlbad;add bal 1x200 ml (fľ.PE);6,41;1;ml
D02AC;89997;;Linola Fett Őlbad;add bal 1x400 ml (fľ.PE);9,79;1;ml
C10AB05;95038;X;LIPANTHYL NT 145 mg;tbl flm 100x145 mg (blis.PVC/PE/PVDC);23,38;1;DF
C10AB05;95031;X;LIPANTHYL NT 145 mg;tbl flm 20x145 mg (blis.PVC/PE/PVDC);5,41;1;DF
C10AB05;59503;X;LIPANTHYL SUPRA 160 mg;tbl flm 30x160 mg (blis.PVC/PE/PVDC/Al);6,34;1;DF
C10AB05;59505;X;LIPANTHYL SUPRA 160 mg;tbl flm 90x160 mg (blis.PVC/PE/PVDC/Al);21,06;1;DF
C10AB05;95023;X;LIPANTHYL SUPRA 215 mg;tbl flm 100x215 mg (blis.PVC/PE/PVDC/Al);31,66;1;DF
C10AB05;95021;X;LIPANTHYL SUPRA 215 mg;tbl flm 30x215 mg (blis.PVC/PE/PVDC/Al);10,11;1;DF
C10BX11;6908B;;Lipertance 10 mg/5 mg/5 mg;tbl flm 30x10 mg/5 mg/5 mg (obal PP);12,4;1;DF
C10BX11;6909B;;Lipertance 10 mg/5 mg/5 mg;tbl flm 90(3x30)x10 mg/5 mg/5 mg (obal PP-multibal.);31,12;1;DF
C10BX11;6918B;;Lipertance 20 mg/10 mg/10 mg;tbl flm 30x20 mg/10 mg/10 mg (obal PP);14,32;1;DF
C10BX11;6919B;;Lipertance 20 mg/10 mg/10 mg;tbl flm 90(3x30)x20 mg/10 mg/10 mg (obal PP-multibal.);38,92;1;DF
C10BX11;6915B;;Lipertance 20 mg/10 mg/5 mg;tbl flm 30x20 mg/10 mg/5 mg (obal PP);13,33;1;DF
C10BX11;6916B;;Lipertance 20 mg/10 mg/5 mg;tbl flm 90(3x30)x20 mg/10 mg/5 mg (obal PP-multibal.);35,61;1;DF
C10BX11;6912B;;Lipertance 20 mg/5 mg/5 mg;tbl flm 30x20 mg/5 mg/5 mg (obal PP);10,98;1;DF
C10BX11;6913B;;Lipertance 20 mg/5 mg/5 mg;tbl flm 90(3x30)x20 mg/5 mg/5 mg (obal PP-multibal.);31,62;1;DF
C10BX11;6921B;;Lipertance 40 mg/10 mg/10 mg;tbl flm 30x40 mg/10 mg/10 mg (obal PP);16,69;1;DF
C10BX11;6922B;;Lipertance 40 mg/10 mg/10 mg;tbl flm 90(3x30)x40 mg/10 mg/10 mg (obal PP-multibal.);45,51;1;DF
C10AX09;1304A;X;Lipobon 10 mg;tbl 30(3x10)x10 mg (blis.OPA/Al/PVC/Al);7,27;10;mg
C10AX09;1306A;X;Lipobon 10 mg;tbl 90(9x10)x10 mg (blis.OPA/Al/PVC/Al);23,25;10;mg
C09AA03;33468;X;Lisinopril-ratiopharm 10 mg;tbl 30x10 mg (blis.PVC/Al);1,89;10;mg
C09AA03;33472;X;Lisinopril-ratiopharm 20 mg;tbl 30x20 mg (blis.PVC/Al);2,67;10;mg
C09AA03;33464;X;Lisinopril-ratiopharm 5 mg;tbl 30x5 mg (blis.PVC/Al);1,28;10;mg
L01BB04;31740;;LITAK 2 mg/ml injekčný roztok;sol inj 1x5 ml (2 mg/ ml);336,85;1;mg
N05AN01;2481;X;Lithium carbonicum - SLOVAKOFARMA;tbl 100x300 mg (fľ.skl.);8,45;1;g
G03CX01;96226;X;LIVIAL;tbl 1x28;11,03;2,5;mg
B01AF03;5026B;X;Lixiana 30 mg filmom obalené tablety;tbl flm 100x30 mg (blis.PVC/Al);216,57;1;DF
B01AF03;5020B;X;Lixiana 30 mg filmom obalené tablety;tbl flm 30x30 mg (blis.PVC/Al);63,12;1;DF
B01AF03;5039B;X;Lixiana 60 mg filmom obalené tablety;tbl flm 100x60 mg (blis.PVC/Al);216,57;1;DF
B01AF03;5033B;X;Lixiana 60 mg filmom obalené tablety;tbl flm 30x60 mg (blis.PVC/Al);63,12;1;DF
D07AB02;9305;;LOCOID 0,1 %;crm der 1x30 g (tuba Al);2,99;1;g
D07AB02;83212;;LOCOID CRELO;emu der 1x30 g (fľ.PE);2,88;1;g
D07AB02;62047;;LOCOID LIPOCREAM 0,1 %;crm der 1x30 g (tuba Al);2,68;1;g
C07BB07;34865;;Lodoz 10 mg/6,25 mg;tbl flm 30 (blis.PP/Al);6,69;1;DF
C07BB07;34862;;Lodoz 2,5 mg/6,25 mg;tbl flm 30 (blis.PP/Al);6,1;1;DF
C07BB07;34859;;Lodoz 5 mg/6,25 mg;tbl flm 30 (blis.PP/Al);6,13;1;DF
L04AA27;7093D;X;LOGNIF 0,5 mg tvrdé kapsuly;cps dur 28x1x0,5 mg (blis.OPA/Al/PVC/Al-jednotliv.dáv.);847;0,5;mg
C07AB05;96475;X;Lokren 20 mg;tbl flm 28x20 mg (blis.PVC/Al);3,83;20;mg
C07AB05;33497;X;Lokren 20 mg;tbl flm 56x20 mg (blis.PVC/Al);10,72;20;mg
G01AF12;76547;;LOMEXIN 2 %;crm vag 1x78 g (tuba Al+aplikátor);8,5;0,1;g
G01AF12;76545;;LOMEXIN 600 mg;cps vam 2x600 mg (blis.PVC/PVDC/Al);6,96;0,1;g
L03AA14;6781A;;Lonquex 6 mg injekčný roztok naplnený v injekčnej striekačke;sol inj 1x0,6 ml/6 mg (striek.inj.skl.napl. s bezp.zar.);475,88;0,3;mg
C09BX01;7287C;;Lopridam 4 mg/1,25 mg/10 mg;tbl 30x4 mg/1,25 mg/10 mg (blis.OPA/Al/PVC/Al);6,02;1;DF
C09BX01;7281C;;Lopridam 4 mg/1,25 mg/5 mg;tbl 30x4 mg/1,25 mg/5 mg (blis.OPA/Al/PVC/Al);5,96;1;DF
C09BX01;7283C;;Lopridam 4 mg/1,25 mg/5 mg;tbl 90x4 mg/1,25 mg/5 mg (blis.OPA/Al/PVC/Al);16,13;1;DF
C09BX01;7290C;;Lopridam 8 mg/2,5 mg/10 mg;tbl 30x8 mg/2,5 mg/10 mg (blis.OPA/Al/PVC/Al);8,82;1;DF
C09BX01;7292C;;Lopridam 8 mg/2,5 mg/10 mg;tbl 90x8 mg/2,5 mg/10 mg (blis.OPA/Al/PVC/Al);23,81;1;DF
C09BX01;7284C;;Lopridam 8 mg/2,5 mg/5 mg;tbl 30x8 mg/2,5 mg/5 mg (blis.OPA/Al/PVC/Al);8,77;1;DF
C09BX01;7286C;;Lopridam 8 mg/2,5 mg/5 mg;tbl 90x8 mg/2,5 mg/5 mg (blis.OPA/Al/PVC/Al);23,65;1;DF
R06AX13;34381;X;LORATADIN-ratiopharm 10 mg;tbl 30x10 mg;3,91;10;mg
R06AX13;33763;X;LORATADIN-ratiopharm 10 mg;tbl 50x10 mg;6,63;10;mg
C09CA01;37293;X;Lorista 100;tbl flm 84x100 mg;9,8;50;mg
C09CA01;90145;X;Lorista 50;tbl flm 84x50 mg;5,86;50;mg
L02BG04;4014A;X;Lortanda 2,5 mg filmom obalené tablety;tbl flm 100x2,5 mg (blis.PVC/PVdC/Al);42,7;2,5;mg
L02BG04;4008A;X;Lortanda 2,5 mg filmom obalené tablety;tbl flm 30x2,5 mg (blis.PVC/PVdC/Al);12,81;2,5;mg
L01ED05;1380D;;Lorviqua 100 mg filmom obalené tablety;tbl flm 30x100 mg (blis.OPA/Al/PVC);4358,06;100;mg
L01ED05;2304D;;Lorviqua 25 mg filmom obalené tablety;tbl flm 90x25 mg (blis.OPA/Al/PVC);3840,26;100;mg
C09CA01;44176;X;Losartan STADA 50 mg;tbl flm 30x50 mg (blis.PVC/PVDC/Al);1,91;50;mg
C09CA01;44180;X;Losartan STADA 50 mg;tbl flm 90x50 mg (blis.PVC/PVDC/Al);5,75;50;mg
C09CA01;49505;X;Losartan Zentiva 100 mg filmom obalené tablety;tbl flm 30x100 mg (blis.PVC/PVDC/Al);3,54;50;mg
C09CA01;49507;X;Losartan Zentiva 100 mg filmom obalené tablety;tbl flm 90x100 mg (blis.PVC/PVDC/Al);11,52;50;mg
C09CA01;49511;X;Losartan Zentiva 12,5 mg filmom obalené tablety;tbl flm 30x12,5 mg (blis.PVC/PVDC/Al);1,26;50;mg
C09CA01;49527;X;Losartan Zentiva 50 mg filmom obalené tablety;tbl flm 30x50 mg (blis.PVC/PVDC/Al);1,91;50;mg
C09CA01;49530;X;Losartan Zentiva 50 mg filmom obalené tablety;tbl flm 90x50 mg (blis.PVC/PVDC/Al);5,75;50;mg
C09DA01;51948;;Losartan/Hydrochlorothiazid STADA 100 mg/25 mg;tbl flm 30x100 mg/25 mg (blis.PVC/PVDC/Al);4,4;1;DF
C09DA01;51951;;Losartan/Hydrochlorothiazid STADA 100 mg/25 mg;tbl flm 98x100 mg/25 mg (blis.PVC/PVDC/Al);16,34;1;DF
